['200000', '300000', '400000', '500000', '600000', '700000', '800000', '900000', '1000000', '1100000', '1200000', '1300000', '1400000', '1500000', '1600000', '1700000', '1800000', '1900000', '2000000']
['200000', '300000', '400000', '500000', '600000', '700000', '800000', '900000', '1000000', '1200000', '1300000', '1400000']       
                  
"Run at ~45 celcius (no load)"      "Run at ~75+ celsius (big cluster loaded w/ helloworld loop)"            
"Small V" "Small f" "big V" "big F" "Diff Small V" "Diff Big V" "Small V" "Small f" "big V" "big F"         
0.9 200000 0.9 200000 0 0 0.9 200000 0.9 200000         
0.9 300000 0.9 200000 0 0 0.9 300000 0.9 200000         
0.9 400000 0.9 200000 0 0 0.9 400000 0.9 200000         
0.9 500000 0.9 200000 0 0 0.9 500000 0.9 200000         
0.95 600000 0.9 200000 0 0 0.95 600000 0.9 200000         
0.9875 700000 0.9 200000 0 0 0.9875 700000 0.9 200000         
1.025 800000 0.9 200000 0 0 1.025 800000 0.9 200000         
1.0625 900000 0.9 200000 0 0 1.0625 900000 0.9 200000         
1.1 1000000 0.9 200000 0 0 1.1 1000000 0.9 200000         
1.175 1200000 0.9 200000 0 0 1.175 1200000 0.9 200000         
1.225 1300000 0.9 200000 0 0 1.225 1300000 0.9 200000         
1.25 1400000 0.9 200000 0 0 1.25 1400000 0.9 200000         
1.25 1400000 0.9 300000 0 0 1.25 1400000 0.9 300000         
1.25 1400000 0.9 400000 0 0 1.25 1400000 0.9 400000         
1.25 1400000 0.9 500000 0 0 1.25 1400000 0.9 500000         
1.25 1400000 0.9 600000 0 0 1.25 1400000 0.9 600000         
1.25 1400000 0.9 700000 0 0 1.25 1400000 0.9 700000         
1.25 1400000 0.925 800000 0 0 1.25 1400000 0.925 800000         
1.25 1400000 0.95 900000 0 0 1.25 1400000 0.95 900000         
1.25 1400000 0.975 1000000 0 0 1.25 1400000 0.975 1000000         
1.25 1400000 1 1100000 0 0 1.25 1400000 1 1100000         
1.25 1400000 1.025 1200000 0 0 1.25 1400000 1.025 1200000         
1.25 1400000 1.05 1300000 0 0 1.25 1400000 1.05 1300000         
1.25 1400000 1.0625 1400000 0 0 1.25 1400000 1.0625 1400000         
1.25 1400000 1.0875 1500000 0 0 1.25 1400000 1.0875 1500000         
1.25 1400000 1.125 1600000 0 0 1.25 1400000 1.125 1600000         
1.25 1400000 1.1625 1700000 0 0 1.25 1400000 1.1625 1700000         
1.25 1400000 1.2 1800000 0 0 1.25 1400000 1.2 1800000         
1.25 1400000 1.25 1900000 0 0 1.25 1400000 1.25 1900000         
1.25 1400000 1.3125 2000000 0 0 1.25 1400000 1.3125 2000000         
1.225 1300000 1.3125 2000000 0 0.0625 1.225 1300000 1.25 1900000         
1.175 1200000 1.3125 2000000 0 0.0625 1.175 1200000 1.25 1900000         
1.1 1000000 1.3125 2000000 0 0.0625 1.1 1000000 1.25 1900000         
1.0625 900000 1.3125 2000000 0 0.0625 1.0625 900000 1.25 1900000         
1.025 800000 1.3125 2000000 0 0.0625 1.025 800000 1.25 1900000         
0.9875 700000 1.3125 2000000 0 0.0625 0.9875 700000 1.25 1900000         
0.95 600000 1.3125 2000000 0 0.0625 0.95 600000 1.25 1900000         
0.9 500000 1.3125 2000000 0 0.0625 0.9 500000 1.25 1900000         
0.9 400000 1.3125 2000000 0 0.0625 0.9 400000 1.25 1900000         
0.9 300000 1.3125 2000000 0 0.0625 0.9 300000 1.25 1900000         
0.9 200000 1.3125 2000000 0 0.0625 0.9 200000 1.25 1900000         
0.9 200000 1.25 1900000 0 0 0.9 200000 1.25 1900000         
0.9 200000 1.2 1800000 0 0 0.9 200000 1.2 1800000         
0.9 200000 1.1625 1700000 0 0 0.9 200000 1.1625 1700000         
0.9 200000 1.125 1600000 0 0 0.9 200000 1.125 1600000         
0.9 200000 1.0875 1500000 0 0 0.9 200000 1.0875 1500000         
0.9 200000 1.0625 1400000 0 0 0.9 200000 1.0625 1400000         
0.9 200000 1.05 1300000 0 0 0.9 200000 1.05 1300000         
0.9 200000 1.025 1200000 0 0 0.9 200000 1.025 1200000         
0.9 200000 1 1100000 0 0 0.9 200000 1 1100000         
0.9 200000 0.975 1000000 0 0 0.9 200000 0.975 1000000         
0.9 200000 0.95 900000 0 0 0.9 200000 0.95 900000         
0.9 200000 0.925 800000 0 0 0.9 200000 0.925 800000         
0.9 200000 0.9 700000 0 0 0.9 200000 0.9 700000         
0.9 200000 0.9 600000 0 0 0.9 200000 0.9 600000         
0.9 200000 0.9 500000 0 0 0.9 200000 0.9 500000         
0.9 200000 0.9 400000 0 0 0.9 200000 0.9 400000         
0.9 200000 0.9 300000 0 0 0.9 200000 0.9 300000         
0.9 200000 0.9 200000 0 0 0.9 200000 0.9 200000         
